"duration_in_seconds","response_id","intn","intn_nb","meat_belief","pol","gender","age","norm","framing"
170,"R_1LXosOyAqt0cYkc",7,7,20,4,"female",56,"dyn","pos"
712,"R_1GE5Ak3ACuqEvtK",1,NA,50,4,"male",46,"stat","pos"
514,"R_1LT0Xdxvoh2Oh0o",4,14,15,3,"female",18,"dyn","neg"
181,"R_3fZAs6BTIG1XsF2",3,14,30,4,"female",47,"stat","pos"
131,"R_3R2yrVLAWUYO2Bi",5,13,30,2,"female",20,"dyn","pos"
47,"R_2EhtODZvkDERTqf",5,13,35,2,"female",20,"stat","pos"
926,"R_11je1p1YEo9BK3E",1,7,10,4,"male",18,"stat","neg"
352,"R_3gNMBfP7ex5K3O1",2,8,30,3,"female",19,"dyn","pos"
94,"R_batYugT2EVx0TMl",4,10,20,2,"female",19,"stat","pos"
290,"R_siAf5GjfJsdUbkJ",3,7,35,2,"male",20,"stat","neg"
145,"R_3LdMJcrJr2x9lNN",2,14,30,1,"male",19,"stat","pos"
119,"R_2pYywayQmSutyhv",1,12,30,3,"male",20,"dyn","pos"
265,"R_21taczMH8nsxmpP",2,7,50,1,"female",19,"dyn","neg"
280,"R_2v8ImbeqVhMswBP",5,2,40,3,"female",20,"stat","neg"
1449,"R_2WGaf4P53XwMIop",6,5,40,4,"female",50,"dyn","neg"
278,"R_T7L58gzJL9Vi15D",1,12,10,3,"male",20,"dyn","pos"
285,"R_3emWvqpOa03R1mx",2,16,30,1,"male",19,"dyn","neg"
373,"R_2vZGf5mCF8ZAEm5",4,17,30,5,"male",52,"dyn","pos"
738,"R_3nNOyyx29WVJuAl",1,11,45,4,"male",23,"stat","pos"
317,"R_3q9hh7pCUIjcnfU",3,8,15,2,"male",19,"dyn","pos"
18564,"R_6xREgfvwuCaZUFX",1,7,25,4,"female",18,"dyn","neg"
112,"R_xhc74fzQGGlx2Jb",1,7,10,3,"male",20,"stat","pos"
590,"R_VJZXuOqM7I7bh7P",4,15,30,3,"female",52,"dyn","neg"
362,"R_UmVSvmSTq41AZS9",4,5,30,3,"female",52,"stat","neg"
42367,"R_cGYxIFZzbBsJWaR",1,15,20,3,"female",NA,"dyn","neg"
440,"R_1NeOwW5xFVMaizW",7,7,25,2,"male",47,"dyn","neg"
174,"R_12EzJ3kmMAMAfXb",5,7,25,3,"female",56,"dyn","pos"
127,"R_cNCYGDHFSInaqXL",6,31,40,2,"female",19,"stat","pos"
221,"R_2BxJEuINO3lXARw",5,7,20,4,"female",27,"stat","neg"
511,"R_22WB2T6cCd7U1AF",1,NA,17,4,"male",20,"dyn","pos"
3733,"R_blpUkrIaQzLlvgZ",2,2,20,3,"female",40,"dyn","neg"
108,"R_tQmtumw0ulCi27n",2,19,30,4,"male",10,"dyn","pos"
715,"R_7NW6TK4oJEy9skx",4,18,30,4,"female",20,"stat","neg"
116,"R_1GQzfu2J5tHYaaz",4,19,10,3,"male",20,"stat","pos"
260,"R_11gSuvElSHconLU",2,13,30,2,"male",20,"stat","neg"
1246,"R_wOfkVPNaBK92qFH",6,10,25,2,"male",54,"dyn","neg"
167,"R_puwEYqsIJlTWMTL",6,10,25,2,"male",54,"dyn","pos"
261,"R_2ahpO1JrX8E8pkB",1,15,50,3,"female",24,"stat","pos"
207,"R_2tD7vcNFCKZCuwj",6,10,25,2,"male",54,"stat","pos"
933,"R_R8rVvFK2JrPmUOB",3,10,35,4,"female",20,"stat","neg"
84,"R_2ttER6MC9DFg7FR",4,5,40,3,"female",18,"dyn","pos"
230,"R_aaAMnbm1Za8Gjzb",6,7,30,2,"male",21,"dyn","pos"
705,"R_1cUNYfhxDbGtZup",2,14,45,4,"female",47,"dyn","neg"
154,"R_2zwkjLBYnkG1YhA",5,14,30,1,"non_binary",21,"stat","pos"
178,"R_12cczlW2gVTUqay",2,14,45,3,"female",47,"stat","pos"
202,"R_b2AureHxZBnv6MN",5,12,30,1,"non_binary",21,"dyn","neg"
167,"R_1hKWNd1LZ0r8SQf",2,14,45,3,"female",47,"dyn","pos"
138,"R_32QHggVD8p3pexZ",7,10,60,2,"female",20,"stat","pos"
1242,"R_12mMCBhT54xHEOR",5,6,30,2,"female",49,"dyn","neg"
6390,"R_1KkdzRv41Zhp5cl",5,12,30,1,"non_binary",21,"stat","neg"
118,"R_2fyczSt3XRAK2iB",3,15,49,1,"female",19,"stat","pos"
159,"R_3JrN8OnEWcvyK3Q",5,10,40,1,"female",34,"stat","pos"
273,"R_1P0F9ySDcqKqGF3",6,15,30,1,"male",35,"stat","neg"
136,"R_2bH4RwZ6TkI2oFT",4,15,34,2,"female",37,"dyn","pos"
188,"R_Q6AKXhFjVyEcZZD",7,15,30,2,"non_binary",30,"stat","pos"
572,"R_3lW7iYKW6bbQL31",7,14,40,2,"female",28,"dyn","neg"
361,"R_qWrwE7ux2HlOBiN",7,15,30,2,"non_binary",30,"stat","neg"
300,"R_1pWHLjIw5uMk6TP",4,16,20,2,"female",30,"dyn","neg"
202,"R_24AxpeUHcuBLID6",4,15,60,4,"male",19,"stat","pos"
100,"R_2qEE3Y12yrN2kl8",2,3,30,1,"female",19,"dyn","pos"
100,"R_3NK94lm7zDAqiPR",1,5,10,4,"female",29,"stat","pos"
169,"R_3sBwp9G05q42ngh",4,5,40,5,"male",20,"stat","neg"
