"duration_in_seconds","response_id","intn","intn_nb","meat_belief","pol","gender","age","norm","framing"
103,"R_1rvl1GmbgRI2m8O",4,7,35,4,"female",19,"stat","pos"
339,"R_2QmOfRj8vMfMpjm",5,14,30,2,"prefer_not_to_say",18,"dyn","neg"
300,"R_t0wk600oGqNNiXD",2,18,50,5,"male",19,"dyn","pos"
47,"R_1qVPHR7INAS6t2h",2,18,30,5,"male",19,"dyn","pos"
136,"R_XRoIWA9qsJEziH7",5,15,45,2,"female",19,"stat","pos"
555,"R_Ajmo2ROJD4cvDKV",5,15,30,4,"female",19,"stat","neg"
204,"R_3dFEneeQrkie0Wu",3,5,25,2,"female",19,"dyn","pos"
928,"R_2t2IbcJxLbD8NMd",4,3,30,2,"female",19,"stat","neg"
172,"R_dd0QkZu8L4AsbYJ",1,2,30,4,"female",21,"stat","pos"
126,"R_27TJVg6aSwXHROp",4,7,20,2,"male",20,"dyn","pos"
169,"R_Q6Zi8s2kkTWzGxP",1,10,30,4,"male",21,"stat","pos"
255,"R_3FPDDRVUEejNU4N",1,9,30,3,"male",21,"stat","neg"
382,"R_1CDe6fDkv8WlZN4",1,10,30,4,"male",21,"dyn","neg"
589,"R_2aKX78SRCTWtzUT",4,17,15,4,"female",19,"dyn","neg"
199,"R_1ik74L1L2vHfr0k",2,10,15,2,"female",21,"stat","pos"
8924,"R_30dirlIElLXAPPK",3,4,20,2,"male",23,"dyn","neg"
64,"R_1gvasT7UvGt2tS8",4,1,10,5,"non_binary",26,"dyn","pos"
61,"R_2zuvErjVUFEaRoo",4,5,20,2,"male",20,"stat","pos"
414,"R_3HLWqHsznraAHvx",5,3,30,4,"male",54,"stat","neg"
274,"R_ysyoiTdkiydzCgh",2,16,18,3,"male",20,"dyn","pos"
186,"R_3GpvcUXMhvEu6l5",4,10,60,4,"female",20,"dyn","pos"
987,"R_3sAq4chNucK53gU",5,12,10,4,"male",35,"stat","neg"
2551,"R_1rBOzkzi3GpxIT0",4,7,25,2,"female",19,"stat","neg"
314,"R_3qPAo6qad0c1oIH",5,10,35,4,"male",21,"dyn","pos"
240,"R_2wz3ElH3qBHbv9j",2,10,30,4,"female",21,"dyn","neg"
305,"R_6X4ITu4NydNYSpb",4,18,35,4,"female",20,"stat","neg"
101,"R_0q4eC2iFSZphdER",1,15,30,5,"female",23,"stat","pos"
351,"R_rjpH66lTk5qfy81",5,11,30,2,"female",30,"stat","neg"
681,"R_3gTLM0gwUzJiedL",3,9,30,4,"male",54,"stat","neg"
386,"R_POgOZSUbC0EWPgB",5,3,30,3,"male",44,"dyn","pos"
385,"R_2Tnu30aVWtvrpoA",7,14,20,4,"female",56,"stat","neg"
206,"R_295tF2F3ubqZXmn",1,7,10,6,"male",20,"stat","pos"
172,"R_29geVlz6IDoSELN",1,10,50,6,"male",18,"stat","pos"
52,"R_2q2ZIGB0diSFjpR",5,14,10,2,"female",20,"stat","pos"
207,"R_Wur9roVJyQuNE09",4,17,35,2,"female",49,"dyn","pos"
363,"R_1jNwHimqyrka47U",6,14,50,4,"female",78,"dyn","pos"
95,"R_2TZEigp2O0W2ARo",4,16,30,4,"female",44,"stat","pos"
850,"R_BJSTt3m5yhC0Ra1",5,8,30,3,"female",20,"stat","neg"
84,"R_1P2k2MiZkNPZXF4",4,7,1,2,"female",21,"dyn","pos"
95,"R_PLrgTu93LzmB4Xf",3,16,20,3,"male",20,"dyn","pos"
357,"R_z1Gq5qPw3Iu0K6R",4,5,40,3,"female",18,"dyn","neg"
14724,"R_1r2p3XwUAiV8jIL",2,15,15,3,"male",43,"stat","pos"
1885,"R_1etnNiYb1uFqoga",5,14,25,3,"female",30,"dyn","pos"
342,"R_XNzv1HivXVO2JeV",3,15,30,3,"female",19,"dyn","neg"
113,"R_3NxtoWmHkEfuUob",4,6,30,4,"male",21,"stat","neg"
588,"R_1dc2KVfG0UBhlCl",5,7,20,3,"female",48,"stat","pos"
239,"R_BQB4NENAFQZaynD",4,17,40,4,"female",44,"dyn","pos"
915,"R_2sco0SAdTZNG9BR",5,3,30,4,"male",19,"stat","neg"
915,"R_3CBf4Q0IUY85fcT",1,3,30,4,"female",20,"stat","neg"
450,"R_2Ey0523uNXHsb6c",2,14,30,4,"female",44,"dyn","neg"
65,"R_1HjxeaaJYjzU1Sf",5,19,10,2,"female",18,"stat","pos"
63,"R_QcAibBHMy1pkz2F",2,16,18,3,"male",20,"stat","pos"
